Title,Rating,Year,Actors,Runtime
Baahubali 2: The Conclusion,8.3,2017,"('Madonna Sebastian', 'Anupama Parameshwaran', 'Ajay Devgn', 'Shriya Saran')",167 min
Premam,8.3,2015,"('Tabu', 'Rajat Kapoor', 'Om Puri', 'Harman Baweja')",156 min
Drishyam,8.3,2015,"('Nazriya Nazim', 'Nivin Pauly', 'Dulquer Salmaan', 'Fahadh Faasil')",163 min
Chaar Sahibzaade,8.3,2014,"('Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat')",135 min
Bangalore Days,8.3,2014,"('Dulquer Salmaan', 'Thilakan', 'Siddique', 'Nithya Menon')",171 min
It's Such a Beautiful Day,8.3,2012,"('Rajkummar Rao', 'Mohammed Zeeshan Ayyub', 'Baljinder Kaur', 'Tigmanshu Dhulia')",62 min
1 - Nenokkadine,8.3,2014,"('Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm')",170 min
Ustad Hotel,8.3,2012,"('Humaima Malik', 'Manzar Sehbai', 'Shafqat Cheema', 'Iman Ali')",151 min
Shahid,8.3,2012,"('Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini')",129 min
Jagten,8.3,2012,"('Milos Bikovic', 'Petar Strugar', 'Armand Assante', 'Viktor Savic')",115 min
Bol,8.3,2011,"('Milos Bikovic', 'Petar Strugar', 'Nina Jankovic', 'Danina Jeftic')",165 min
Jodaeiye Nader az Simin,8.3,2011,"('Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer')",123 min
"Montevideo, vidimo se!",8.3,2014,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",141 min
"Montevideo, Bog te video!",8.3,2010,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",140 min
Up,8.3,2009,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",96 min
Toy Story 3,8.3,2010,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",103 min
